volts | binário
------|-------------
0     | 0 0 0 0 0 0 0
0,034 | 0 0 0 0 0 0 1
0,072 | 0 0 0 0 0 1 0
0,107 | 0 0 0 0 0 1 1
0,153 | 0 0 0 0 1 0 0
0,194 | 0 0 0 0 1 0 1
0,232 | 0 0 0 0 1 1 0
0,270 | 0 0 0 0 1 1 1
0,304 | 0 0 0 1 0 0 0
0,343 | 0 0 0 1 0 0 1
0,385 | 0 0 0 1 0 1 0
0,423 | 0 0 0 1 0 1 1
0,466 | 0 0 0 1 1 0 0
0,504 | 0 0 0 1 1 0 1
0,543 | 0 0 0 1 1 1 0
0,584 | 0 0 0 1 1 1 1
0,612 | 0 0 1 0 0 0 0
0,656 | 0 0 1 0 0 0 1
0,695 | 0 0 1 0 0 1 0
0,735 | 0 0 1 0 0 1 1
0,767 | 0 0 1 0 1 0 0
0,815 | 0 0 1 0 1 0 1
0,847 | 0 0 1 0 1 1 0
0,885 | 0 0 1 0 1 1 1
0,929 | 0 0 1 1 0 0 0
0,966 | 0 0 1 1 0 0 1
1,008 | 0 0 1 1 0 1 0
1,036 | 0 0 1 1 0 1 1
1,084 | 0 0 1 1 1 0 0
1,118 | 0 0 1 1 1 0 1
1,156 | 0 0 1 1 1 1 0
1,198 | 0 0 1 1 1 1 1
1,236 | 0 1 0 0 0 0 0
1,279 | 0 1 0 0 0 0 1
1,317 | 0 1 0 0 0 1 0
1,356 | 0 1 0 0 0 1 1
1,396 | 0 1 0 0 1 0 0
1,434 | 0 1 0 0 1 0 1
1,479 | 0 1 0 0 1 1 0
1,517 | 0 1 0 0 1 1 1
1,548 | 0 1 0 1 0 0 0
1,597 | 0 1 0 1 0 0 1
1,641 | 0 1 0 1 0 1 0
1,669 | 0 1 0 1 0 1 1
1,707 | 0 1 0 1 1 0 0
1,749 | 0 1 0 1 1 0 1
1,787 | 0 1 0 1 1 1 0
1,821 | 0 1 0 1 1 1 1
1,859 | 0 1 1 0 0 0 0
1,897 | 0 1 1 0 0 0 1
1,939 | 0 1 1 0 0 1 0
1,982 | 0 1 1 0 0 1 1
2,013 | 0 1 1 0 1 0 0
2,062 | 0 1 1 0 1 0 1
2,095 | 0 1 1 0 1 1 0
2,134 | 0 1 1 0 1 1 1
2,175 | 0 1 1 1 0 0 0
2,214 | 0 1 1 1 0 0 1
2,251 | 0 1 1 1 0 1 0
2,285 | 0 1 1 1 0 1 1
2,323 | 0 1 1 1 1 0 0
2,365 | 0 1 1 1 1 0 1
2,403 | 0 1 1 1 1 1 0
2,447 | 0 1 1 1 1 1 1
2,495 | 1 0 0 0 0 0 0
2,523 | 1 0 0 0 0 0 1
2,564 | 1 0 0 0 0 1 0
2,602 | 1 0 0 0 0 1 1 
2,646 | 1 0 0 0 1 0 0
2,684 | 1 0 0 0 1 0 1
2,725 | 1 0 0 0 1 1 0
2,765 | 1 0 0 0 1 1 1
2,808 | 1 0 0 1 0 0 0
2,836 | 1 0 0 1 0 0 1
2,874 | 1 0 0 1 0 1 0
2,915 | 1 0 0 1 0 1 1
2,954 | 1 0 0 1 1 0 0
2,997 | 1 0 0 1 1 0 1
3,035 | 1 0 0 1 1 1 0
3,077 | 1 0 0 1 1 1 1
3,106 | 1 0 1 0 0 0 0
3,144 | 1 0 1 0 0 0 1
3,184 | 1 0 1 0 0 1 0
3,226 | 1 0 1 0 0 1 1
3,261 | 1 0 1 0 1 0 0
3,299 | 1 0 1 0 1 0 1
3,336 | 1 0 1 0 1 1 0
3,378 | 1 0 1 0 1 1 1
3,416 | 1 0 1 1 0 0 0
3,451 | 1 0 1 1 0 0 1
3,497 | 1 0 1 1 0 1 0
3,530 | 1 0 1 1 0 1 1
3,568 | 1 0 1 1 1 0 0
3,607 | 1 0 1 1 1 0 1
3,651 | 1 0 1 1 1 1 0
3,688 | 1 0 1 1 1 1 1
3,740 | 1 1 0 0 0 0 0
3,777 | 1 1 0 0 0 0 1
3,811 | 1 1 0 0 0 1 0
3,848 | 1 1 0 0 0 1 1
3,891 | 1 1 0 0 1 0 0
3,928 | 1 1 0 0 1 0 1
3,967 | 1 1 0 0 1 1 0
4,010 | 1 1 0 0 1 1 1
4,048 | 1 1 0 1 0 0 0
4,082 | 1 1 0 1 0 0 1
4,127 | 1 1 0 1 0 1 0
4,162 | 1 1 0 1 0 1 1
4,200 | 1 1 0 1 1 0 0
4,238 | 1 1 0 1 1 0 1
4,280 | 1 1 0 1 1 1 0
4,317 | 1 1 0 1 1 1 1
4,353 | 1 1 1 0 0 0 0
4,390 | 1 1 1 0 0 0 1
4,434 | 1 1 1 0 0 1 0
4,474 | 1 1 1 0 0 1 1
4,515 | 1 1 1 0 1 0 0
4,553 | 1 1 1 0 1 0 1
4,591 | 1 1 1 0 1 1 0
4,625 | 1 1 1 0 1 1 1
4,663 | 1 1 1 1 0 0 0
4,704 | 1 1 1 1 0 0 1
4,742 | 1 1 1 1 0 1 0
4,786 | 1 1 1 1 0 1 1
4,815 | 1 1 1 1 1 0 0
4,853 | 1 1 1 1 1 0 1
4,894 | 1 1 1 1 1 1 0
4,933 | 1 1 1 1 1 1 1
